"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_origen","des_nivel_formativo_origen","cod_titulacion_origen","des_titulacion_origen","cod_universidad_destino","des_universidad_destino","cod_pais_univ_destino","des_pais_univ_destino","lat_pais_univ_destino","lon_pais_univ_destino","cod_continente_univ_destino","des_continente_univ_destino","cod_agregacion_paises_univ_destino","des_agregacion_paises_univ_destino","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","D DORTMUN04","INTERNATIONAL SCHOOL OF MANAGEMENT ISM DORTMUND","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental",,"DORTMUND",,,,,,,,,"092020","042021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","I ROMA01","UNIVERSITA' DEGLI STUDI DI ROMA 'LA SAPIENZA'","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"ROMA",,,,,,,,,"092020","072021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"156","China","35.86166","104.195397","142","Asia","030","Asia oriental",,,,,,,,,,,"092020","052021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","UK BRIGHTO01","UNIVERSITY OF SUSSEX","826","Reino Unido de Gran Bretaña e Irlanda del Norte","55.378051","-3.435973","150","Europa","154","Europa septentrional",,"BRIGHTON",,,,,,,,,"092020","032021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","F MARSEIL84","UNIVERSITE D'AIX-MARSEILLE","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"MARSEILLE CEDEX 7",,,,,,,,,"092020","092021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","N BERGEN02","NORGES HANDELSHØYSKOLE","578","Noruega","60.472024","8.468946","150","Europa","154","Europa septentrional",,"BERGEN",,,,,,,,,"092020","032021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","2000","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"036","Australia","-25.274398","133.775136","009","Oceanía","053","Australia y Nueva Zelandia",,,,,,,,,,,"092020","032021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1999","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","A WIEN05","WIRTSCHAFTSUNIVERSITAET WIEN","040","Austria","47.516231","14.550072","150","Europa","155","Europa occidental",,"WIEN",,,,,,,,,"092020","072021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"840","Estados Unidos de América","37.09024","-95.712891","019","Américas","021","América septentrional",,,,,,,,,,,"092020","032021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2020-21",,,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","I ROMA01","UNIVERSITA' DEGLI STUDI DI ROMA 'LA SAPIENZA'","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"ROMA",,,,,,,,,"102020","062021"
