"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_origen","des_nivel_formativo_origen","cod_titulacion_origen","des_titulacion_origen","cod_universidad_destino","des_universidad_destino","cod_pais_univ_destino","des_pais_univ_destino","lat_pais_univ_destino","lon_pais_univ_destino","cod_continente_univ_destino","des_continente_univ_destino","cod_agregacion_paises_univ_destino","des_agregacion_paises_univ_destino","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1993","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","F ANGERS04","UNIVERSITE CATHOLIQUE DE L'OUEST","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"ANGERS",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1993","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","I SASSARI01","UNIVERSITA DEGLI STUDI DI SASSARI","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"SASSARI",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1991","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","NL GRONING01","RIJKSUNIVERSITEIT GRONINGEN","528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental",,"GRONINGEN",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1988","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","043","Universidad de Girona","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","17079","GIRONA","9","Catalunya","17","Girona","41.9818","2.8237",,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","NL NIJMEGE01","RADBOUD UNIVERSITEIT NIJMEGEN","528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental",,"NIJMEGEN",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1994","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","777777777777","OTRA UNIVERSIDAD FUERA DE LA UE","288","Ghana","7.946527","-1.023194","002","África","202","África Subsahariana",,"",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","P LEIRIA01","INSTITUTO POLITÈCNICO DE LEIRIA (IPL)","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional",,"LEIRIA",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","777777777777","OTRA UNIVERSIDAD FUERA DE LA UE","288","Ghana","7.946527","-1.023194","002","África","202","África Subsahariana",,"",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","BG SOFIA02","NOV BULGARSKI UNIVERSITET","100","Bulgaria","42.733883","25.48583","150","Europa","151","Europa oriental",,"SOFIA",,,,,,,,,"01/09/2017","01/06/2018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2017-18","1","Estudios y/o proyecto fin de grado","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1993","H","Hombre","3","Grado","2501692","Grado en Publicidad y Relaciones Públicas","I FERRARA01","UNIVERSITA' DEGLI STUDI DI FERRARA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"FERRARA",,,,,,,,,"01/09/2017","01/06/2018"
