"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_destino","des_nivel_formativo_destino","cod_universidad_procedencia","des_universidad_procedencia","cod_ambito_univ_procedencia","des_ambito_univ_procedencia","cod_municipio_univ_procedencia","des_municipio_univ_procedencia","cod_pais_univ_procedencia","des_pais_univ_procedencia","lat_pais_univ_procedencia","lon_pais_univ_procedencia","cod_continente_univ_procedencia","des_continente_univ_procedencia","cod_agregacion_paises_univ_procedencia","des_agregacion_paises_univ_procedencia","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental","1998","M","Mujer","1","Grado, Ciclos","NL HEERLEN14","HOGESCHOOL ZUYD",,,,"MAASTRICHT","528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental","1998","M","Mujer","1","Grado, Ciclos","NL ORANJES02",,,,,,"528","Países Bajos","52.132633","5.291266","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","P MAIA01","INSTITUTO SUPERIOR DA MAIA",,,,"AVIOSO (S.PEDRO) MAIA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1996","M","Mujer","1","Grado, Ciclos","P ACORES01","UNIVERSIDADE DOS ACORES",,,,"PONTA DELGADA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1993","M","Mujer","1","Grado, Ciclos","P SANTARE01","INSTITUTO POLITECNICO DE SANTAREM",,,,"SANTARÉM","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1999","M","Mujer","1","Grado, Ciclos","P AVEIRO01","UNIVERSIDADE DE AVEIRO",,,,"AVEIRO","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1998","M","Mujer","1","Grado, Ciclos","P BEJA01","INSTITUTO POLITÉCNICO DE BEJA",,,,"BEJA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1998","M","Mujer","1","Grado, Ciclos","P ACORES01","UNIVERSIDADE DOS ACORES",,,,"PONTA DELGADA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","P BEJA01","INSTITUTO POLITÉCNICO DE BEJA",,,,"BEJA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1998","M","Mujer","1","Grado, Ciclos","P BRAGANC01","INSTITUTO POLITÈCNICO DE BRAGANÇA",,,,"BRAGANÇA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1996","M","Mujer","1","Grado, Ciclos","P MAIA01","INSTITUTO SUPERIOR DA MAIA",,,,"AVIOSO (S.PEDRO) MAIA","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"150","Europa","039","Europa meridional","1995","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"150","Europa","039","Europa meridional","1997","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1997","M","Mujer","1","Grado, Ciclos","RO TIMISOA01","UNIVERSITATEA DE VEST DIN TIMISOARA",,,,"TIMISOARA","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1998","M","Mujer","1","Grado, Ciclos","RO TARGOVI01","UNIVERSITATEA 'VALAHIA' DIN TARGOVISTE",,,,"TARGOVISTE","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1998","M","Mujer","1","Grado, Ciclos","RO TARGOVI01","UNIVERSITATEA 'VALAHIA' DIN TARGOVISTE",,,,"TARGOVISTE","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1999","M","Mujer","1","Grado, Ciclos","RO BACAU01","""UNIVERSITATEA """"VASILE ALECSANDRI"""" DIN BACAU""",,,,"BACAU","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1998","M","Mujer","1","Grado, Ciclos","RO GALATI01","""UNIVERSITATEA """"DUNAREA DE JOS"""" DIN GALATI, ROMANIA""",,,,"GALATI","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","498","República de Moldova","47.411631","28.369885","150","Europa","151","Europa oriental","1998","M","Mujer","1","Grado, Ciclos","RO TARGOVI01","UNIVERSITATEA 'VALAHIA' DIN TARGOVISTE",,,,"TARGOVISTE","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"142","Asia","145","Asia occidental","1996","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"142","Asia","145","Asia occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"142","Asia","145","Asia occidental","1996","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"142","Asia","145","Asia occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"142","Asia","145","Asia occidental","1990","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"142","Asia","145","Asia occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"150","Europa","155","Europa occidental","1996","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"150","Europa","155","Europa occidental","1995","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +",,,,,"150","Europa","155","Europa occidental","1998","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","1995","M","Mujer","1","Grado, Ciclos","D AUGSBUR01","UNIVERSITAET AUGSBURG",,,,"AUGSBURG","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","1998","M","Mujer","1","Grado, Ciclos","D AUGSBUR01","UNIVERSITAET AUGSBURG",,,,"AUGSBURG","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","1996","M","Mujer","1","Grado, Ciclos","D KOLN01","UNIVERSITAET ZU KOELN",,,,"KOELN","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","1995","M","Mujer","1","Grado, Ciclos","D JENA01","FRIEDRICH-SCHILLER-UNIVERSITÄT JENA",,,,"JENA","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","604","Perú","-9.189967","-75.015152","019","Américas","419","América Latina y el Caribe","1996","M","Mujer","1","Grado, Ciclos","D MUNSTER01","WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER",,,,"MÜNSTER","276","Alemania","51.165691","10.451526","150","Europa","155","Europa occidental","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
